date,open,high,low,close,Endeks Return
2024-04-17 13:25:00,9633.61,9635.26,9631.97,9634.24,0.11565907487287586
2024-04-17 13:30:00,9634.35,9641.3,9629.74,9640.86,0.06871325605342093
2024-04-17 13:35:00,9666.02,9672.22,9664.94,9672.22,0.32528218436942424
2024-04-17 13:40:00,9674.61,9677.1,9673.65,9676.15,0.040631830127946245
2024-04-17 13:45:00,9674.03,9675.08,9670.12,9672.91,-0.03348439203608722
2024-04-17 13:50:00,9667.04,9668.94,9664.55,9668.73,-0.04321346936961845
2024-04-17 13:55:00,9659.24,9661.84,9652.78,9652.78,-0.1649647885502925
2024-04-17 14:00:00,9619.69,9626.29,9617.13,9622.57,-0.31296683442491036
2024-04-17 14:05:00,9623.88,9624.9,9619.27,9619.27,-0.034294372501308956
2024-04-17 14:10:00,9612.1,9612.93,9605.86,9605.86,-0.13940766814944938
2024-04-17 14:15:00,9612.5,9615.29,9610.36,9612.45,0.06860395633498939
2024-04-17 14:20:00,9623.06,9623.06,9618.5,9621.67,0.09591727395199534
2024-04-17 14:25:00,9617.14,9620.54,9616.33,9619.58,-0.021721800893192977
2024-04-17 14:30:00,9622.41,9622.66,9615.85,9616.79,-0.029003345260381064
2024-04-17 14:35:00,9618.7,9620.55,9617.59,9617.59,0.00831878412650422
2024-04-17 14:40:00,9623.44,9629.64,9623.39,9629.62,0.125083310891827
2024-04-17 14:45:00,9619.96,9623.03,9618.86,9620.7,-0.09263086186163116
2024-04-17 14:50:00,9623.23,9627.24,9623.23,9626.97,0.0651719729333422
2024-04-17 14:55:00,9601.33,9602.57,9592.45,9592.45,-0.35857595899850825
2024-04-17 15:00:00,9582.3,9587.03,9580.16,9585.0,-0.077665247147507
2024-04-17 15:05:00,9593.66,9595.03,9590.92,9592.6,0.0792905581638026
2024-04-17 15:10:00,9581.5,9583.56,9575.57,9575.57,-0.17753268144194978
2024-04-17 15:15:00,9593.99,9595.75,9592.73,9593.1,0.18307004178341746
2024-04-17 15:20:00,9583.68,9587.77,9582.95,9584.88,-0.08568658723459022
2024-04-17 15:25:00,9601.52,9603.35,9593.7,9595.06,0.10620894575623652
2024-04-17 15:30:00,9590.77,9591.81,9585.8,9587.37,-0.08014540815793891
2024-04-17 15:35:00,9572.01,9575.93,9570.71,9573.15,-0.14832013367588326
2024-04-17 15:40:00,9570.88,9572.14,9568.27,9571.72,-0.01493761196680321
2024-04-17 15:45:00,9558.18,9563.83,9555.06,9560.89,-0.11314580869478119
2024-04-17 15:50:00,9580.69,9583.46,9578.43,9579.05,0.1899404762527368
2024-04-17 15:55:00,9556.4,9556.4,9548.95,9548.95,-0.3142274025085823
2024-04-17 16:00:00,9562.77,9562.77,9558.57,9560.45,0.12043208939203076
2024-04-17 16:05:00,9567.35,9568.66,9566.14,9567.09,0.06945279772394564
2024-04-17 16:10:00,9566.88,9569.84,9565.26,9568.91,0.019023548435304072
2024-04-17 16:15:00,9574.04,9574.83,9567.69,9568.47,-0.004598224876195545
2024-04-17 16:20:00,9575.66,9576.74,9566.09,9566.09,-0.02487336010876806
2024-04-17 16:25:00,9558.97,9567.9,9558.62,9566.21,0.0012544310162176942
2024-04-17 16:30:00,9561.22,9566.96,9560.67,9565.92,-0.0030315035944084023
2024-04-17 16:35:00,9566.47,9567.32,9564.32,9566.19,0.002822519945810953
2024-04-17 16:40:00,9567.34,9567.52,9564.24,9565.82,-0.0038677885344173824
2024-04-17 16:45:00,9551.98,9554.69,9550.92,9554.18,-0.12168324304658862
2024-04-17 16:50:00,9561.08,9566.27,9561.08,9564.71,0.11021354004214778
2024-04-17 16:55:00,9542.8,9543.02,9536.37,9536.55,-0.2944156174102486
2024-04-17 17:00:00,9528.41,9535.56,9527.25,9534.15,-0.025166333737036695
2024-04-17 17:05:00,9532.08,9532.08,9525.91,9526.98,-0.07520334796494721
2024-04-17 17:10:00,9518.9,9520.14,9510.04,9510.04,-0.17781080678240802
2024-04-17 17:15:00,9508.29,9509.15,9504.29,9507.28,-0.029021959949693255
2024-04-17 17:20:00,9525.42,9528.74,9523.82,9527.52,0.21288949100057852
2024-04-17 17:25:00,9526.84,9526.84,9522.96,9523.33,-0.04397786622332145
2024-04-17 17:30:00,9531.27,9533.35,9531.27,9532.02,0.09124959441708658
